id,weight,gender,age,race_ethnicity,party_id,trump_pope_reaction
R0001,1.0897,Female,18,"White, non-Hispanic",Lean Republican,He's right to push back. The pope made comments about immigration that were directed at Trump and he had every right to respond.
R0002,0.7107,Male,19,Asian / Pacific Islander,Democrat,I was horrified honestly. The man is attacking the Pope. The Pope.
R0003,1.2031,Female,36,Hispanic,Strong Democrat,I cried actually. I'm a lifelong Catholic and this felt like an attack on my faith.
R0004,1.693,Non-binary / Other,59,Asian / Pacific Islander,Strong Democrat,Made me sick to my stomach. We've truly lost the plot as a country.
R0005,1.6729,Female,51,"Black, non-Hispanic",Republican,not following it
R0006,0.8366,Female,51,Hispanic,Lean Democrat,Not really sure how I feel. Part of me thinks Trump went too far but I also understand his frustration.
R0007,1.0823,Male,29,"Black, non-Hispanic",Lean Republican,"idk, i dont really care"
R0008,1.3578,Male,72,Hispanic,Democrat,Made me sick to my stomach. We've truly lost the plot as a country.
R0009,0.9669,Female,47,Asian / Pacific Islander,Strong Republican,LOL good. about time. The pope should worry about his own problems and not lecture us.
R0010,0.9842,Non-binary / Other,32,Asian / Pacific Islander,Lean Republican,About time. Leo said some pretty nasty things about our immigration policy first.
R0011,1.2657,Female,49,Asian / Pacific Islander,Democrat,As someone who respects all religions I was very troubled by the tone and the words he used.
R0012,1.3585,Female,60,"Black, non-Hispanic",Democrat,I understand why people are upset but I also think the pope has been making political statements that invite a response.
R0013,1.1232,Male,56,"Black, non-Hispanic",Strong Republican,I don't know
R0014,2.1316,Non-binary / Other,46,Other / Mixed Race,Strong Republican,Didn't phase me. Trump says controversial things all the time and he's usually right.
R0015,1.4735,Female,49,"Black, non-Hispanic",Republican,It was appropriate I think. Leo made some statements that really were anti-American.
R0016,0.9259,Male,32,"Black, non-Hispanic",Lean Republican,Good. The church should stay out of it. Trump is just saying what a lot of people think.
R0017,0.6217,Female,48,Other / Mixed Race,Republican,I supported it. Leo has been very political and Trump calling him out was fair.
R0018,1.1593,Female,57,"White, non-Hispanic",Lean Democrat,It made me really sad. Even if you disagree with him you don't attack the pope like that.
R0019,0.83,Female,41,"Black, non-Hispanic",Strong Republican,good for him! the pope had it coming with all his comments about trump supporters
R0020,0.4995,Female,54,Asian / Pacific Islander,Independent,"Not great, not terrible. Both of them need to dial it back."
R0021,1.3354,Male,18,Other / Mixed Race,Democrat,Somewhat disturbed but also not entirely surprised. They've been on a collision course for a while.
R0022,0.7447,Non-binary / Other,50,Hispanic,Strong Democrat,very upset about it. my whole family is catholic and this felt personal
R0023,1.711,Male,46,"White, non-Hispanic",Lean Republican,I don't love it but I also don't love that the pope gets involved in american politics. so.
R0024,0.3719,Female,47,"White, non-Hispanic",Independent,No opinion
R0025,0.8614,Male,37,"White, non-Hispanic",Lean Republican,I was happy about it. Someone needs to stand up to these institutions.
